ITE_ITEM_TITLE1,ITE_ITEM_TITLE2,Score_Similitud
tenis new balance 327 masculino ms327fj l,tenis new balance 327 masculino ms327fl l,1.0
tenis infantil tenis feminino promocao brinde bolsa p nao pe,tenis infantil tenis feminino promocao brinde bolsa u nao pe,1.0
tenis feminino flatform espadrille beira rio - 4232100,tenis feminino flatform espadrille beira rio 4232100,0.9988
tenis olympikus saga feminino marinho,tenis olympikus saga feminino - marinho,0.9981
tenis olympikus vortex masculino,tenis olympikus vortex - masculino,0.9973
sapato usthemp legend tematico - gael bulldog frances 3,sapato usthemp legend tematico - gael bulldog frances 5,0.9952
tenis skechers m go walk evolution ultra,tenis skechers go walk evolution ultra,0.9951
tenis nike runallday 2 feminino,tenis nike runallday feminino,0.9934
"tenis mvp cross training - cross, academia, funcional - mvp","tenis mvp cross training - cross, academia e funcional - mvp",0.9932
tenis infantil feminino escolar menina escola d original,tenis infantil feminino escolar menina escola h original,0.9925
5 pares tenis masculino leve para caminhada promocao barato,3 pares tenis masculino leve para caminhada promocao barato,0.9915
nike air force i infantil,nike air force 1 infantil,0.9913
sapato usthemp legend tematico - pug 3,sapato usthemp legend tematico - pug 4,0.9909
tenis infantil slip on calce facil confortavel leve as130,tenis infantil slip on calce facil confortavel leve cb130,0.9871
tenis cano alto infantil plis calcados a442 22 ao 29,tenis cano alto infantil plis calcados a452 22 ao 29,0.9864
tenis mizuno wave prophecy 6 - ref***0000057,tenis mizuno wave prophecy 6 - ref***0000054,0.985
tenis polo farm 921 masculino - 1,tenis polo farm 921 masculino - 2,0.9845
tenis hocks - flat lite tan,tenis hocks flat lite tan gl14,0.9823
tenis plataforma jeans feminino com ziper-pronta entrega,tenis plataforma jeans feminino com ziper pronta entrega,0.9814
tenis sapatenis casual feminina chiqui 7890264,tenis sapatenis casual feminina chiqui 7890236,0.9814
tenis sapatenis casual feminina chiqui 7890263,tenis sapatenis casual feminina chiqui 7890236,0.9809
tenis masculino olympikus ultraleve,tenis masculino olympikus ultraleve/944,0.9804
tenis sapatenis casual feminina chiqui 7890264,tenis sapatenis casual feminina chiqui 7890263,0.9775
tenis freeday flip eco todo preto,tenis todo preto freeday flip eco,0.9756
tenis mizuno wave prophecy 6 - ref***0000039,tenis mizuno wave prophecy 6 - ref***0000054,0.9751
tenis mizuno wave prophecy 6 - ref***0000039,tenis mizuno wave prophecy 6 - ref***0000057,0.9742
tenis skechers go walk evolution ultra,tenis skechers go walk evolution ultra - original,0.9725
bicicleta south legend 21v aro 29 pt/lrj brilho,bicicleta south legend 21v aro 29 pt/az/lrj brilho,0.9716
tenis new balance!,tenis new balance wl515rfa,0.9695
tenis schutz knit s2092000010021,tenis schutz knit s2092000010043,0.969
tenis feminino mizuno wave prime 9 -lancamento-frete gratis,tenis feminino mizuno wave prime 9 lancamento frete gratis,0.9684
tenis infantil feminino via vip vnj259,tenis infantil feminino via vip - vv6519,0.9681
tenis skechers m go walk evolution ultra,tenis skechers go walk evolution ultra - original,0.9678
sapatenis masculino oxford couro legitimo,sapatenis masculino vittal oxford couro legitimo,0.9673
tenis sapatilha hibrido nautica aquatica 41 preto bad fish,tenis sapatilha hibrido nautica aquatica bad fish,0.9654
tv samsung un50ku6000g,tv samsung un50tu700g,0.9632
sapatenis cavalera juan marrom,sapatenis cavalera bento marrom,0.963
tenis calce facil adrun flex power ortopedico solado leve mt,tenis calce facil adrun flex power ortopedico solado leve,0.9624
tenis adidas response super boost m fy8746,tenis adidas response super boost masculino,0.9615
tenis fila disruptor ii premium feminino,tenis fila disruptor ii premium feminino 39,0.9611
botinha feminina bota treino academia fitness danca leve,tenis botinha feminina bota treino academia fitness danca,0.9606
tenis adidas terrex ax3 - feminino,tenis adidas terrex ax3,0.9604
tenis oakley flak 1.2 khaki original,tenis oakley flak 1.3 khaki robust original,0.9603
tenis modare ultraconforto,tenis modare ultraconforto geltch,0.9602
tenis usthemp pepper tematico - vaca 2,tenis usthemp pepper tematico - leao,0.9593
tenis mizuno wave prophecy 6 - refff***000552354,tenis mizuno wave prophecy 6 - refff***00055555178,0.9576
smart tv lg ai thinq oled55a1psa 4k 55 100v/240v,smart tv lg ai thinq 55nano86sna led 4k 55 100v/240v,0.9555
tenis usthemp pepper tematico - vaca 2,tenis usthemp pepper tematico - corujinha 2,0.9553
tenis feminino esportivo actvitta original absorcao impacto,tenis feminino esportivo actvitta absorcao impacto original,0.9549
tenis infantil tenis feminino promocao brinde bolsa l adquir,tenis infantil tenis feminino promocao brinde bolsa b promoc,0.9546
tenis adidas - neo,tenis adidas neo feminino,0.9542
tenis sapatenis feminino dbmore relogio gold dubuy 024mc,tenis sapatenis feminino dbland relogio gold dubuy 024cb,0.9542
tenis asics gel resolution 8 clay masculino - saibro- new,tenis asics gel resolution 8 clay masculino saibro,0.9538
tenis olympikus numero grande especial feminino 40/41,tenis olympikus numero grande 40/41 especial feminino,0.9537
